,Restaurant Name,Overall Rating,Total Reviews,Specialty,Region,Price Range,Author,Comment,Rating,Date
0,Shikgoo,4,37,Koreanisch / ,Wedding,2,Gülay G.,"Ein richtig süßes kleines koreanisches Restaurant. Die Preise sind total in Ordnung. Es gibt ein Podest, wo man auf dem Boden sitzen kann, wenn gewünscht kann auch z.b. in einer Gruppe im Separee gespeist werden. (Achtung Schuhe ausziehen auf dem Podest und im Separee). Andere Sitzplätze auf Stühlen sind ebenfalls vorhanden. Im Restaurant gibt es keine Musik. Das gefällt mir sehr gut! Stattdessen plätschert ein kleiner Brunnen im Raum. Dadurch ist die Gesprächslautstärke eher leise. Ich habe ein koreanisches Barbecue gegessen. Geschmacklich war es sehr lecker. Kein Chi Chi, keine überflüssigen Zutaten, stattdessen sehr hochwertige pure Lebensmittel. Auch der kleine Reiskuchen für 1 Euro (Sehr kleine Portion, eher wie ein Happen) war sehr lecker. Das Personal ist sehr freundlich und unaufgeregt. Klare Empfehlung!",5,25.3.2019
1,Shikgoo,4,37,Koreanisch / ,Wedding,2,Bianca D.,"Sehr leckere Koreaner. Schönes traditionelles Ambiente, ein kleiner Laden, nicht zu überfüllt. Das Essen war sehr lecker, Klasse koreanisch . angenehme Schärfe, Zusammenstellung der Gewürze und Geschmackskomponenten.",5,28.11.2019
2,Shikgoo,4,37,Koreanisch / ,Wedding,2,Michaela B.,"Sehr leckere koreanische Küche! Zuerst aber muss das Ambiente erwähnt werden. Es ist sauber und gepflegt, Schuhe müssen ausgezogen werden! Es gibt viele Nischen zum Sitzen. Wir haben auf dem Boden auf Kissen gesessen. Es war total gemütlich. Die Bedienung (vermutlich auch der Besitzer?!) war sehr freundlich. Wir würden das Restaurant auch als kinderfreundlich bezeichnen. Auch wenn nicht viel Platz ist und Kinder eigentlich nicht spielen oder herumlaufen können fühlten wir uns mit Kind (7 Jahre alt) sehr willkommen.Es konnten uns auch alle Fragen zum Essen beantwortet werden.Es gibt einige Gerichte auf der Karte, einige vegetarisch, aber nur ein einziges veganes Gericht (Udon mit Gemüse). Dieses ist aber auch sehr lecker! Bei jedem Hauptgericht gibt es vorab einen kleinen Vorspeisenteller mit Salat, Kimchi und Brokkoli. Alles sehr lecker gewürzt. Uns hat es auf jeden Fall gefallen und wir waren begeistert. Wir werden sicher bald wieder dort einkehren.",5,16.7.2018
3,Shikgoo,4,37,Koreanisch / ,Wedding,2,Anni T.,"Waren im Sommer nach einem kleinen Fahrradausflug hier, weil wir schon oft vorbeigelaufen sind und das Restaurant als Korea-Liebhaber unbedingt testen wollten.Das Interior ist wirklich sehr schön, kreativ und super umgesetzt (daher +1 Stern). Wegen der Hitze waren wir an dem Tag allerdings draußen gesessen.Ich gebe ganz ungern wenig Sterne und komme auch gerne wieder, um meine Bewertung noch einmal zu überarbeiten, aber in dem Fall waren wir einfach wirklich sehr sehr enttäuscht.Zum einen wurde sehr spät unsere Bestellung aufgenommen, obwohl die Bedienung direkt beim Hinsetzen das dreckige Geschirr der vorherigen Gäste weggeräumt hat.Danach haben wir, obwohl an dem Tag wirklich nicht viel los war, über 1 Stunde (!) auf unser Essen gewartet. Als es kam, gab es leider nicht einmal eine Entschuldigung für die Wartezeit. Wir waren aber glücklich endlich zu essen & wollten mal nicht so sein und uns nicht beschweren.Leider kam dann die nächste Enttäuschung: unser Essen war sehr sehr fad und geschmacklos  Auch die Beilagen haben uns leider nicht geschmeckt. Wir haben eine Zeit lang in Korea gelebt und waren alles in allem daher ziemlich enttäuscht, weil wir gehofft haben, einen guten Koreaner in der Gegend entdeckt zu haben.",2,30.11.2018
4,Shikgoo,4,37,Koreanisch / ,Wedding,2,Rena E.,"Nettes koreanisches Restaurant mit tollem Interieur und authentischem Flair. Wir hatten dort ein Abendessen, 1x Bibimbap und 1x Bulgogi. Die kleinen Vorspeisen waren sehr lecker und das Kimchi gut. Auch die Hauptgerichte konnten geschmacklich überzeugen. Der Service war sehr nett, freundlich und aufmerksam, auch die kleine Erläuterung zur Art des Essens (wenn auch nicht nötig) fand ich schön, da sicher einige hier zum ersten Mal koreanisch probieren. Leider finde ich die Preise etwas happig - das hatte ich im Wedding so nicht erwartet. Ein Bibimbap veg. mit Ei für €9 zzgl. €1 für den heißen Topf - wenn man da das ""klassische"" Bibimbap bestellt ist man schnell €13 los. Auch das Bulgogi war lecker, aber selbst das Tofu-Bulgogi kostete €9,50. Da die Atmosphäre sehr schön war, sind die Preise wahrscheinlich auch dadurch gefrechtfertigt, ich werde jedoch nicht häufiger ""mal eben so"" hinkommen. Schade!",3,17.2.2018
5,Shikgoo,4,37,Koreanisch / ,Wedding,2,Marc R.,"Niemals wieder! Never again, horrible service! Schlechter Service, vergessene Reservierung, beleidigender Inhaber und Bestellung falsch aufgenommen, aber anstatt dies als Fehler einzugestehen wird einem noch vorgeworfen man würde dem Inhaber was unterstellen.Wer ein Restaurant aufmacht, sollte auch Gastronom lernen. Es gibt nun leider auch schlechte Erfahrungen und diese war wie ein Schlechter Film, aber in echt :-)Und ich war schon paar mal in Korea, das was dort passiert ist wäre dort undenkbar. Aber ich bin ja in Deutschland, Servicewüste!",1,1.3.2015
6,Shikgoo,4,37,Koreanisch / ,Wedding,2,Zi L.,"Sehr angenehme Atmosphäre und Bodensitzelement, das ist total bequem. Mandu und Kimchi sind fantastisch lecker, sehr authentisch. Bogogi von Schweinefleisch ist ein bisschen schal. Trotzdem ist der Restaurant sehr empfehlenswert.",4,18.7.2016
7,Shikgoo,4,37,Koreanisch / ,Wedding,2,Kath X.,Super lecker Getränke aber auffallend langweiliges Essen. Ich verstehe das Konzept der Betreiber nicht. Nicht wirklich zuvorkommend und soo billig ist es dann für den Wedding auch nicht,3,19.2.2018
8,Shikgoo,4,37,Koreanisch / ,Wedding,2,Laura M.,"Wunderschön eingerichtetes Restaurant, das zu einer kleinen Reise einlädt. Das Essen war sehr gut, die Bedienung sehr bemüht. Ich war überrascht so eine Perle im Wedding zu finden!",5,4.8.2017
9,Shikgoo,4,37,Koreanisch / ,Wedding,2,Lukas H.,"Sehr niedliches Restaurant in dem man ganz authentisch, auf dem Boden sitzend, koreanisch essen kann.  Die Auswahl ist in Ordnung und das Essen war bisher (war schon 3 mal da) immer gut.Auch die Bedienung ist wirklich nett. Sehr zu empfehlen!",5,17.6.2014
