,Restaurant Name,Overall Rating,Total Reviews,Specialty,Region,Price Range,Author,Comment,Rating,Date
0,Paris-Moskau,4,87,International / ,Tiergarten,3,Franz-Joseph G.,"Von Anfang an war mir klar: Das wird was Besonderes. Nachdem wir es uns zur Gewohnheit gemacht haben, den Jahrestag der glückbringenden Geburt meiner besseren Hälfte immer mit dem Sommerurlaub zu kombinieren, fiel die Wahl erstens nicht schwer und zweitens auf das Paris-Moskau; denn 2020 kam Berlin in das zweifelhafte Vergnügen, von uns heimgesucht zu werden.Inhaber Wolfram Ritschl, der mich schon im Vorfeld vorbildlich für die Feierlichkeit beriet, begrüßte uns freundschaftlich und herzlich. Auf unserem Tisch stand der georderte Blumenstrauß in einer Vase schon bereit, und auch wenn er sehr hübsch war, enthielt er doch gefühlt weniger rote Rosen, als ich mir anhand meiner Anfrage vorgestellt hatte. Aber das ist Meckern auf hohem Niveau. Während wir noch auf die Vorspeise warteten, kam durch die geöffnete Verandatür eine Wespe auf dem Luftweg einmarschiert und machte es sich im Aperitif der besten Frau von allen bequem. Ich winkte den Kellner herbei, während das Insekt ums Überleben kämpfte. Der Kellner wiederum fischte mit einem Löffel die Wespe heraus und stellte das Glas wieder hin. Verwundert ließ ich etwas fallen, nämlich die Bemerkung, dass in dem Fall allgemein doch ein neues Getränk serviert würde, was dann glücklicherweise auch geschah. Ich finde nicht, dass dies einen Punktabzug wert ist, vielleicht auch, weil die Situation unfreiwillig skurril war. Das Essen war hingegen einfach phänomenal. Ich hatte als Hauptgericht das Neuseeländische Rinderfilet, und ganz ehrlich: Ich kenne schon einige Steakrestaurants, aber noch keines davon hat es geschafft, dass ich beim Anschneiden den Eindruck hatte, mir sei ein braun gefärbter weicher Klotz Butter serviert worden. Denn so zart war das Fleisch in der Tat!Nicht minder als der Koch, verstand der Sommelier sein Werk. Ich hatte die Weinbegleitung geordert und auch mir, der ich von Wein nun wirklich nicht viel verstehe, fiel sofort auf, wie hervorragend die Weine die Speisen geschmacklich ergänzten. Jeder Gang und jedes dazu eingeschenkte Glas Wein war einfach nur eine Offenbarung.Ich schließe diese Rezension mit einem meiner berüchtigten Reime.""Soll was Leckres in die Kehle- Paris-Moskau ich empfehle.""",5,20.11.2020
1,Paris-Moskau,4,87,International / ,Tiergarten,3,Ingo B.,"Eine Oase zwischen den gesichtslosen Betonklötzen drumherum. Das Essen ist immer wieder ein Highlight, kreativ und mit offensichtlicher Liebe zum Detail zubereitet, Bedienung durch Kellner, die diese Bezeichnung wirklich verdienen, es tut immer wieder gut, hier zu verweilen. Der Charme dieser herrlichen kleinen Jugendstilvilla ist einzigartig. Danke für einen wunderbaren Abend!!!",5,26.8.2021
2,Paris-Moskau,4,87,International / ,Tiergarten,3,Kim K.,"Wir kamen an einem Mittwoch so gegen 12 Uhr zum Lunch vorbei und waren positiv überrascht!Ein sehr nettes Team empfängt einen sogleich um die Mäntel entgegen zu nehmen und die Gäste zum Tisch zu geleiten (ohne Reservierung geht allerdings nichts!).Wir wählten als Vorspeise eine Kürbiskern-Suppe, die vorzüglich und wunderbar schaumig ausgeschlagen war und wählten als Begleitung ein Wasser sowie einen leckeren Weißwein.Der Hauptgang sah zwar nach sehr viel aus - Schweinekotelett mit Rosmarin-Kartoffeln - war jedoch auf den zweiten Blick doch etwas enttäuschend, da nur ein Teil vorzüglich durchgebraten und gewürzt war, der Rest jedoch noch nahezu roh war.Als Nachspeise wählten wir zum einen das Bratapfel-Dessert, welches wunderbar vorweihnachtlich duftete und schmeckte und zum anderen die Käseplatte, welche ebenfalls sehr lecker war.Insgesamt ein netter Vormittag mit fast durchweg gutem Essen.Allerdings ist dies bei einem Preis von 60€ für zwei Personen auch zu erwarten.Wir kommen ggf. noch einmal Abends wieder!",4,5.12.2014
3,Paris-Moskau,4,87,International / ,Tiergarten,3,Anne S.,"Romantisches Berlin? Ein verlässliches Stück davon finde ich im PM und zwar schon lange bevor ich hier zum ersten Mal einen Fuß reinsetzte. Dieser Eindruck und die Faszination, die das PM auf mich hat, liegen zuallererst an dem Häuschen selbst, das - einst noch viel mehr als heute - wie aus einer anderen Zeit, aus einer anderen Gegen neben den Hauptbahnhof gesetzt wirkt.  Dunkles Fachwerk, Giebeldach, rot-schwarzes Emblem. Und dann der Name: Paris Moskau, Worte, Namen, die mein Fernweh herauskitzeln. Städte, die für mich Agenten und Romantik vereinen, wie kaum andere.Die Faszination liegt liegt auch an den Legenden, die sich um das Restaurant ranken.  Am Trotz, den es mittlerweile gegen alle Bauvorhaben zur Schau trägt. Wer mich hierher ausführt, macht was richtig: Wie hier seit Mitte der 80iger gehobene Küche serviert wird, sorgt verlässlich für Genüsse jenseits des Alltags.Ja, es geht fein zu hier, vor allem was die Küche und den Wein angeht, aber was für mich mindestens so weit trägt, ist das Gefühl des Willkommenseins. Lächeln, Gastfreundschaft sind hier nie fern, egal auf wen ich treffe und auch wenn ich nur auf ein Glas Wein vorbeischaue. Jede Frage findet Beantwortung und der Weinempfehlung kann ich blind vertrauen. PS: Dass hier auch Wert auf Nachtisch und Käse gelegt wird, erfreut mein süßes Krümelmonsterherz :-)",5,30.3.2014
4,Paris-Moskau,4,87,International / ,Tiergarten,3,Gerald A.,"Gehört von Anfang an zu meinen bevorzugten Berliner Lokalen. Küche und Service sind fantastisch, Atmosphäre und Ambiente einmalig. Der Gastronom Wolfram Ritschl ist ein ausgesprochen unterhaltsamer wie großzügiger Gastgeber und aus ganzer Überzeugung um das Wohl seiner Gäste besorgt. Darüber hinaus sind seine Qualitäten als Geschichte/n/erzähler & Stimmenimitator historischer Figuren von herausragender Einmaligkeit.  Das PM gehört zu den herausragenden gastronomischen Orten des Landes - nicht umsonst zählen seit mittlerweile 26 Jahren Politiker und Stars aus Kunst und Kultur zu den Stammgästen dieses hinreißenden Knusperhäuschens.  By the way: die etwas geizige Bewertung des Gault Millau [14 Punkte] spiegelt aus meiner Sicht die Qualität des exklusiven Angebots nicht angemessen wider. Ich hatte in den letzten Jahrzehnten noch nie etwas zu beanstanden und zähle es zu den besten und kreativsten Gastronomien weit über die Stadt hinaus.",5,23.7.2010
5,Paris-Moskau,4,87,International / ,Tiergarten,3,Lennart E.,"Das Restaurant PARIS-MOSKAU liegt in Spuckweite zu Hauptbahnhof und Bundeskanzleramt und wird daher gern und häufig von reisenden Managern und Politikern frequentiert. Von der Lage und dem Gebäude her ist es wohl einmalig, das Restaurant wirkt von außen eher wie eine Gaststätte irgendwo im Bayrischen Wald als wie ein Edelrestaurant im Herzen einer europäischen Hauptstadt. Aber eben dieser Kontrast macht den besonderen Charme aus. Noch liegt das Haus allein auf weiter Flur, aber angrenzende Baugruben deuten bereits ein Ende dieser Idylle an.Außer dem erschwinglichen Mittagstisch sind die Preise dann jedoch ziemlich gesalzen, aber die Speisen sind hervorragend. Man achtet wie in der Edel-Gastronomie üblich wirklich auf jedes Detail und auch das Personal ist sich seiner Rolle als Repräsentant einer Edel-Location durchaus bewußt.Außer mittags kann man dann auch ab 18:00 Uhr ein warmes Mahl erstehen, dann empfiehlt sich jedoch eine Tischreservierung.Zusammengefasst kann man sagen, dass das Restaurant dem Schickimicki-Glanz Münchner Edeltränken in keiner Weise nachsteht, aber für besondere Gelegenheiten oder den Gast mit dem etwas lockereren Portemonnaie hat Berlin nicht viel Gleichwertiges zu bieten. Luxus gepaart mit Charme und Seele, was will man mehr.",5,27.5.2010
6,Paris-Moskau,4,87,International / ,Tiergarten,3,Claudia L.,"Berlin hat einige dieser versteckten Perlen ohne offiziellen Stern, das Paris Moskau ist eine von ihnen. Empfang, Service und Gastlichkeit sind vorbildlich ohne steif zu sein. Frische, engagierte Gesichter bereiten den Abend. Das Essen ist hervorragend, die Portionen reichlich. Preis-/Leistung absolut in Ordnung wenn auch insgesamt höherpreisig. Die Weinauswahl ist sehr gut und auch hier preislich angemessen.Das Ambiente ist edel und gleichzeitig rustikal durch die Fachwerkhaus Atmosphere. Wir waren in der Winterzeit dort und werden dies sicherlich bald wiederholen. Es ist wirklich gemütlich. Meine Empfehlung!",5,29.8.2014
7,Paris-Moskau,4,87,International / ,Tiergarten,3,Sebastian A.,"Das Haus Paris Moskau sieht von außen durch sein Fachwerk schon total niedlich aus und lädt gleich ein, es unbedingt zu betreten. Der Empfang ist herzlich und überaus willkommen heißend, man wird mit einer unglaublichen Freundlichkeit bedient und zum Tisch gebracht.Wir haben uns für das 5-Gänge-Menü ""Paris Moskau"" entschieden und es in keinster Weise bereut, alle fünf Gänge waren hervorragend und von überaus guter Qualität und einzigartigem Geschmack! Dazu wählten wir noch die Weinbegleitung. Der Sommelier war überaus engagiert, Wein kennend und humorvoll, da machte es gleich viel mehr Spaß, jedes Glas genussvoll zu leeren. Natürlich wurde auch gleich nachgeschenkt, wenn ein Glas leer war. Nachdem wir fertig gegessen hatten, kam sogar noch der Koch mit seinem Team aus der Küche und fragte nach unserem Befinden und verriet uns sogar ein Rezept für die Sauce, da einer von uns Gästen sich sehr dafür interessiert. Wir waren total überrascht, als die zwei Geburtstagskinder in unserer Runde plötzlich jeder ein kleines Geburtstagstörtchen geschenkt bekamen, welches noch schnell gebacken wurde. Großartig! Viel mehr muss ich jetzt nicht erzählen, am besten man macht sich sein eigenes Bild von diesem romantischen Restaurant :)",5,29.10.2014
8,Paris-Moskau,4,87,International / ,Tiergarten,3,Nadine A.,"Paris Moskau. Nicht nur eine sicherlich sehr interessante Reiseroute, auch ein Restaurant in Moabit.Unweit vom Hauptbahnhof entfernt steht ein hübsches kleines Fachwerkhaus. Seit 25 Jahren ist hier das Restaurant Moskau Paris zu Hause.Hier gibt es eine uralte und sehr schöne russische Teemaschine, die auch noch voll funktionsfähig ist.Auch das Gusseiserne Büffett aus Gründerzeiten ist eine historische Augenweide und im Sommergarten kann man herrlich sitzen, wenn über Berlin die Sonne untergeht.Die Küche hier ist regional und immer mit Zutaten der Saison. Als Vegetarier hat man es hier recht schwierig. Zur Not reicht auch mal ein Salat.14 Punkte im Gault Millau kommen sicher nicht von ungefär.",3,25.6.2010
9,Paris-Moskau,4,87,International / ,Tiergarten,3,Heike F. F.,"Schwierig, wenn es schon so viele Vorredner gibt, aber so ganz unkommentiert möchte ich meinen Valentinstagsbesuch doch nicht lassen. Das Paris Moskau ist etwas ganz Besonderes und fällt somit für mich auch in die Kategorie: Besondere Anlässe. Dies hat einerseits natürlich mit dem hohen Niveau (geschmacklich, aber eben auch preislich) zu tun, aber auch damit, dass man die guten Dinge nur zu schätzen weiß, wenn man sie nicht jeden Tag bekommen kann. :) Die Einrichtung ist einladend - gemütlich mit dem schönen alten Büffet. Meine Blicke blieben gleich sehnsüchtig an unzähligen Flaschen mit Edelbränden hängen, die sehr verschwenderisch über den Raum verteilt an Säulen und auf Regalen dargeboten wurden. Unser Essen war 5-gängig, jeweils perfekt mit dem passenden Wein kombiniert und ist mir nur noch als synästhetischer Gesamteindruck (orange-gelb-strahlend, in Spiralen gewunden und mit Diamanten besetzt)in meinem Genießer-Gedächtnis hängengeblieben. Wer soll sich auch diese merkwürdigen Namen merken? Zum Abschluss haben wir uns noch sehr nett mit dem Chef Wolfram persönlich unterhalten, der sich nur unter größten Schwierigkeiten von seinem Computer (und Qype wie ich vermute) lösen konnte. Ich erfuhr bei dieser Gelegenheit erstaunt, dass das Paris Moskau von Montag bis Freitag ab 12 Uhr einen Mittagstisch anbietet und das zu erstaunlich günstigen Preisen. Da werde ich mir wohl mal einen besonderen Anlass ausdenken (Hunger), um mittags einmal dort zu essen! PS: Es hätte mir noch besser gefallen, wenn in dem kleinen Raum nicht an fast jedem Tisch geraucht worden wäre....",5,15.2.2007
