Comment,Rating
bewertung restaurant menulist ansehen restaurant gut kritik ausprobieren bereuen,5
joseph ziemlich neu israelisch restaurant modern design besonders kuschelig angenehm hell hübsch einrichten schön lampe service ausgesprochen freundlich unkompliziert aufmerksam besonders celina essen kommen schnell sehen appetitlich schmeckt israelisch starter kleinigkeit hauptspeise gut schmecken preis angemessen berlin mitte teuer überraschen schon laut musik auflegen werden können fast mehr unterhalt tisch gegenüber anfrage werden drosseln fazit wer israelisch küche mögen gut preis leistung verhältnis möchten blick friedrichstraße nett service gut aufheben,4
schalömch scheiße heute kosch weggeknallt maria joseph vorbild kellerinn geben saufen mehr gast rein kommen schlagen welle sommer einfach lit as fuck saufen ne geil crew halb miete haben gerne mehr geferkelt dicht,5
essen allenfalls ok nochmal insgesamt erlebnis joseph langweilig nachdem allein restaurant kommen dauern erstmal begrüßen platzieren werdeen lokal voll speisekart englisch berlin mitte wirklich verwundern bestellt grün bohne salat vorspeisen danach grillspieß gemüse offen küche zubereitet kommen weniger minute tisch sellerie walnüsse lt karte wohl klingend salat sollen fehlen selbstgemacht bagel beilage salat hingegen gut schmecken grillspieß bestehen kartoffel zwiebel aubergin paprika zucchini gebetten stellenweise schwarz verkohlt fladenbrot wenig deko zwei soßenklekse zusammen jerusalem spritz zahlt euro kurz sagen fallen gut adresse berlin middle east küche restaurant allgemein gebiet friedrichstraße oranienburger straße,2
empfehlung werden enttäuschen hammer ambiente hammer essen mega personal zusammen stellen lassen vegetarier voll kosten kommen machen wirklich sinn konzept mehrere gericht bestellen untereinander teilen,5
besuch technikmuseum gut schmecken boulett bratkartoffeln echt super knusprig lecker klein brotteller frisch satt machen bratkartoffel gut schmecken gleich portion bestellen echt empfehlung gegend geheim tipp berlin schön seite,5
super lecker essen cool atmosphäre gut bier leider ec karten kreditkarten aktzeptiern bissle schade,4
weiss gar wieso beitrag mehr schon mehrfach feststellen beitrag yelp vllt gehen damals schief übertragung qype yelp erklären jedenfalls erinnern immer gut besuch bei stadtklause bestellen schnitzel zwei spiegeleier bratkartoffeln tee begleitung gut munden wollen kommen bisher schaffen toilette ebenfalls sauber bedienung kommen zeitnah ambiente wirken absolut urig passen richtig gut berlin,4
nett abend locker ambiente gut rustikal ess preis leistung service top schnittchen hammer,5
yelp europe tot yelper quietschlebendig lauten vorweg genommen fazit elf freund müsst bei fußball devise abends heißen interessiert absagen mussen willkommen sein hilde rhein rüdersdorferin organisieren dafür danke bei nächster wiedersehen sicher bussi macht gehen gewies baden verzögern mal anreise ca jahr mal hermannsplatz city safari chaot frei wildbahn buchen durch wild kreuzberg gut springerjargon ja anhalter bhf hochhaus yelper welt schauen stadt heißen einst politisieren chaospreis bekommen berliner verkehrsbetriebe gehen voran stecken tief stau verspätet wohlauf ankommen gings lachen yelpen keller gut stehen reservierter tisch oben wär laut eng unten finden absolut gemütlich griabig boazn bayern sagen finden kalt ja bei heimatbesuch mutter selbstgestrickt wollsocken sehen tragen dürfen gegenüber organisatorin plazieren persönlich unbekannt micha userin meister hertha bsc check inn qype kennen klasse wc tür richtig längsten lies kollege berlinesser werden feststellen wohl bei müssen extra einchecken herzogtum klohäuserl verdeitigen wissen erstmal bestellen dunles marienbräu fair halbe danach wörtlich ran buletten stück brot angemessen euro gegensatz gericht stimmen temperatur buletten hausgemacht prädikat gut vergeben vergleichbar mutter nyumbani gastroteile absolut akzeptabel hausgemacht brot ordnung immer sagen berlin gut schrippe bayern gut bauernbrot danken nochmal roger rumreich gigantisch brotzeitteller schmalz lecker tischkonversation verlaufen angenehm erwarten yepp spaß name yelp werden kaum erwähnen ja mittig tisch querschnitt gehen darum früh zonengrenz klingelnd schlittschuhe rentenalter franken imigrieren grand canyon eingeflogen schaman gelingen geist verblich frau schmitz hild rieslinggla vertreiben stimmen hild glas geist wein verlieren querbeet schön bei rausgehen dürfen zahlen meinen verzehren passen wohl oberer bereich gings rund touris finden schon gut plätz insgesamt finden location gesamtpaket gut durchschnitt verdienen abend selber neu alt kontakt stehen ausserhalb diskussion freuen hoffen heuer wiedersehen berlin bleiben gesund,4
danke stadtklause authentisch berliner ort vieler dank hild toll idee planung reservierung treffens kreuzberg nordwest kiez krieg vieler bombe fallen wenig historisch bebauung geben dafür vieler hässlich jahr zweckbauen weniger alt erhalten haus bieten stadtklause hause lokal haben art unweit potsdamer platzes erwarten art alt berliner kneipe einfach rustikal billig scheinen touris gut anzukommen massenweise strömen heran gast schon reservieren preisniveau gut günstig gehen speis trinken berlin kaum mehr grund halten lieber flüssig dingen fest kostprobe speisen gruppe überzeugt stadtklause eignen gut leute rustikal einfach günstig stehen kommen eher feierlaune gemütlichkeit wer preis anfangen meckern konzept preis leistung verhältnis irgendwie verstehen,5
bodenständig kneipe keller warm essen gut gerne verzichten obwohl keller ja nah erdkern liegen kalt unten eng gruppe person sicht eignen toll blick toiletten wer wann oft besuchen liebe hilde begeistern pinte suchen ding leider billig preisen speisekart lauwarm bauernfrühstück gehen preis allerdings gut bringer gefallen klein brotteller hild mann divers belegt stulle gebackenen brot locker fünf euro wissen groß brotteller aussehen saerdna frau stulle rührei mann wiederum brottell etage hoch erdgeschoss sämtlicher plätz reservieren glaube schiff voll portugiese anlegen leider daran service gelitten drei kellner kopf voll frei wlan login geben funktionieren laden leer ab reisegruppe gehen gar mehr barrierefreiheit klein schreiben weder toilette erster stock handicapen geben mittelmäßig stern priorität ausschließlich meinung entgegen geschäftsinformationen geben wlan reservieren treff stern bewerten,3
mega stell ne kiezkneipe wissen leider recht voll lage anhalter bahnhof bus top askanisch platz schon stehen davor name versprechen michelin sterne ehrlich küche geben schnell n klein gemischt brotteller frisch brot grosszügig belegen nen heiermann sorry gibts klein mittel gross leute greifen gut überhaupt absolut gut preis riesling gut unten gemütlich oben steil treppe raucherabtl niedrig decken raucht person erträglich kellner steil treppe mal hoch runter incl voll tablett tellern yeahich bewundert fitness studio brauchen sicher fazit sterne kandidat,5
bisschen abgelegen echt gut einfach essen überschaubar karte klein brotteller schnitzel bratkartoffeln getränke ca geschmack gut bedienung echt aufmerksam immer präsent optik lokal mhhh sagen gewöhnungsbedürftig,4
berlin pur garantieren hippster frei mal bier buletten schlecht wahl weit laufweg tourist,4
kneipe kennen schätzen wissen urig selbstgebraut bier lecker süffig essen eher bescheiden auswahl geil lecker schnittchen salat schnitzel spiegelei ne bratkartoffeln hammer leuten karte hoch runter gegessen satt werden groß portion kellner komisch vögel lustig drauf gönnt lasst abschrecken außen echt gut erwarten restaurant -- ne kneipe buchen stehen,5
