,Restaurant Name,Overall Rating,Total Reviews,Specialty,Region,Price Range,Author,Comment,Rating,Date
0,Roma,3.5,12,Pizza / Italienisch / Mediterran / ,Mitte,1,Timo F.,"Wer Lust auf eine Pizza hat sollte großen Hunger haben, die Pizzen sind riesig, der Teig relativ dick. Der Boden war knusprig, die Pizza gut belegt, der Käse nicht zu pappig. Etwas eigenartig fand ich die Speisekarte, es gab kein Bruschetta und nur drei bis fünf verschiedene Pastagerichte. Schön wäre es auch, wenn ein Beilagensalat auf der Karte wäre. Lasagne oder ähnliches wurde nicht angeboten.Die Pizzen kann ich uneingeschränkt empfehlen. Der Service ist freundlich  und aufmerksam.",4,2.2.2018
1,Roma,3.5,12,Pizza / Italienisch / Mediterran / ,Mitte,1,Sylvia M.,"Auf der Suche nach einem gemütlichen Ort zum Zusammensitzen sind wir hier gelandet und ..... es war schön.Aufmerksames Personal, das auch super mit unserer Unentschlossenheit umgehen konnte.Wir haben eine Vorspeisenteller vorab gehabt, wo besonders die Sauce vom Vitello rausstach....sehr lecker! Die Aubergine hätte etwas besser gewürzt sein können, aber im Zusammenhang mit anderen Zutaten von dem Teller war es dann in Ordnung.An die Pizza haben wir uns nicht ran getraut, weil sie uns zu groß war. Also haben wir uns für das überbackene Gemüse aus dem Ofen entschieden. Hat von der Portionsgröße völlig ausgereicht und auch geschmacklich gut. Preis / Leistung ist in Ordnung.",3,14.11.2018
2,Roma,3.5,12,Pizza / Italienisch / Mediterran / ,Mitte,1,Martin B.,"Nach der Show im Friedrichstadtpalast sind wir noch relativ spät in den Genuss dieses Restaurants gekommen. Gleich vorweg, ich habe in den letzten Jahren keine derart schnelle, freundliche und mitdenkende Bedienung erlebt. Meine Pizza war sehr gut, meine Begleitungen waren mit Pasta und Salat auch zufrieden. Dazu ein trockener Chianti. Das war der perfekte Abschluss für einen tollen Abend.",5,6.3.2017
3,Roma,3.5,12,Pizza / Italienisch / Mediterran / ,Mitte,1,Jürgen B.,Hier macht Essen Spaß! Toller und sehr freundlicher Service. Preise sind absolut angemessen und die Pizza ist eine Wucht. Ich komme sicher wieder!,5,18.7.2016
4,Peter Pane,3.5,80,Burger / ,Mitte,2,Detlef D.,Grundsätzlich lecker. Bedienung war etwas lahm und bei Rückfragen pampig in den Antworten und vor allem war das Gesicht im Ausdruck sehr unhöflich: man konnte ihre Gedanken lesen. Deswegen ein Stern Abzug.,4,24.10.2022
5,Peter Pane,3.5,80,Burger / ,Mitte,2,Ursula B.,"Richtig tolle, vielfältige, ausgefallene und mega leckere Burger genießen! Die Zusammenstellung kann nach eigenen Vorlieben erfolgen, das ist Klasse. Ich hatte den Burger mit Avocado, gepimt mit Jalapenios und dem Angus Paddy im Sauerteigbrötchen. Das würde ich in dieser Kombi jederzeit wieder genießen.Vorab gab es einen Gartensalat mit Olivenbrot und gerösteten Pinienkernen. Der Salat war frisch, knackig und mit tollem Dressing. Die Salatblätter waren ""quer Beet"", also viele verschiedene Sorten. Ein Salat zum verlieben.Der Service ausgesprochen freundlich, hilfsbereit und umsichtig.",4,3.12.2021
6,Peter Pane,3.5,80,Burger / ,Mitte,2,Heiko T.,"Peter Pane kennt man aus diversen Städten der Republik, und auch dieser sieht erstmal aus, wie alle anderen. Deko, Karte und Co..Aber der Service ist hier Outstanding, um mal ein neues ""deutsches"" Wort zu nehmen.Die Cocktailkarte ist ja eher semi. Für einen Nicht-Cocktailtrinker klingt sie super spannend, aber schaut man genau hin, hat jeder Cocktail nur einen, maximal zwei Alkoholikas. Und das nur die wenigsten. Das heisst sie sind alle sehr schwach, deswegen auch der günstigere Preis, denn Saft kostet ja weniger.Kommt man aber mit dem Barkeeper ins Gespräch, dann zeigt er seine Mix-Künste und die Drinks nehmen barfähige Formen an. Und das ist das Fazit dieses Berichts. Peter Pane kann auch Cocktails, aber es steht und fällt mit dem Barmann / Frau.Einfach mal antesten. Wir wurden jedenfalls super positiv überrascht. :-)",4,28.9.2019
7,Peter Pane,3.5,80,Burger / ,Mitte,2,Sonja E.,Sehr leckere Burger. Tolle Auswahl. Herzliche Bedienung. Wir hatten die Burger-Fritten-Cocktail combo. Richtig amerikanisch.,4,15.12.2021
8,Peter Pane,3.5,80,Burger / ,Mitte,2,Holger L.,Immer voll und recht trubelig. Und Burger gibts an jeder Ecke. Der Besuch lohnt sich trotzdem besonders wegen der zahlreichen vegetarischen und veganen Burger. So lecker und in solcher Auswahl habe ich es bisher nirgends gesehen. Die vegetarischen Burger sind auch keine langweiligen TK-Teile sondern wirken zumindest selbst gemacht. Dazu ist der Service freundlich und gut organisiert.,5,23.8.2021
9,Peter Pane,3.5,80,Burger / ,Mitte,2,Tim M.,"Bin mit einem Freund hierhingegangen.  Cooles Restaurant mit frischen Ambiente.  Wir saßen draußen und es war sehr angenehm.  Das Essen war total lecker, und die Bedienung war gut.  Sehr empfohlen!Went here with a friend.  Cool restaurant with a really clean fresh ambience.  We sat outside and it was really pleasant.  The food was delicious and the wait staff was good.  Recommended!",4,5.12.2019
